"","project_id","week","day","hour","num_authors"
"3110",29839205,0,1,1,1
"3111",7148025,0,1,13,1
"3112",30408652,0,1,0,1
"3113",6714777,0,1,22,1
"3114",14651670,0,1,7,1
"3115",195994,0,2,4,1
"3116",7199494,0,3,18,1
"3117",26247538,0,3,22,1
"3118",28829375,0,1,16,1
"3119",5548532,0,2,2,1
"3120",1950227,0,4,16,1
"3121",308982,53,30,20,1
"3122",7018645,0,2,10,1
"3123",2449624,0,3,16,1
"3124",30425084,0,1,20,1
"3125",13340192,0,3,13,2
"3126",30381755,0,2,9,1
"3127",2791715,0,2,10,1
"3128",2520513,0,1,9,1
"3129",10228700,0,2,15,1
"3130",14521329,0,3,19,1
"3131",25355936,0,2,3,1
"3132",7069246,0,2,16,1
"3133",13763947,0,3,16,1
"3134",22921443,0,1,6,3
"3135",30416321,0,1,19,1
"3136",30295472,0,2,5,1
"3137",13781226,0,2,4,1
"3138",84253,0,1,1,1
"3139",30063391,0,1,16,1
"3140",7191986,0,4,20,1
"3141",4885,0,1,2,1
"3142",2774149,0,3,4,1
"3143",14709239,0,3,20,1
"3144",6913742,0,3,12,1
"3145",365619,0,1,3,1
"3146",30425748,0,1,21,1
"3147",17827620,0,2,12,1
"3148",1852382,53,31,12,1
"3149",14660636,0,1,18,2
"3150",7704341,0,1,17,1
"3151",79461,0,1,5,1
"3152",25945800,0,4,11,2
"3153",10967194,0,2,8,1
"3154",5715520,0,3,13,1
"3155",6538738,0,3,15,1
"3156",41917297,0,3,23,1
"3157",11374435,0,2,14,1
"3158",4673619,0,3,10,1
"3159",1934992,0,2,18,1
"3160",14298071,0,3,1,1
"3161",700045,0,3,7,1
"3162",998100,0,2,19,1
"3163",3277937,0,3,20,1
"3164",13666035,0,1,14,1
"3165",13852436,0,3,18,1
"3166",5924240,0,3,15,1
"3167",14528726,0,1,21,1
"3168",2821158,0,2,17,1
"3169",30065659,0,1,15,1
"3170",1742684,0,2,23,1
"3171",22489118,0,2,16,1
"3172",7057689,0,1,3,1
"3173",4024636,0,3,5,1
"3174",14544106,0,3,20,1
"3175",12774743,0,2,22,1
"3176",10386280,0,1,20,1
"3177",6674231,0,2,11,1
"3178",30420081,0,2,14,1
"3179",9976582,0,3,5,1
"3180",6359,0,3,23,2
"3181",29433072,0,3,0,2
"3182",66837,0,5,16,1
"3183",7139212,0,2,23,1
"3184",12523546,0,1,23,1
"3185",4333493,0,1,13,1
"3186",50297,0,3,17,1
"3187",14639684,0,3,17,1
"3188",844210,0,3,22,1
"3189",13483203,0,3,3,1
"3190",10210412,53,30,3,1
"3191",30428235,0,1,23,1
"3192",30408626,0,1,19,1
"3193",30442134,0,2,17,1
"3194",1983264,0,4,9,1
"3195",7083556,0,3,6,1
"3196",24246635,0,2,20,1
"3197",14651355,0,2,13,1
"3198",14678513,0,2,21,1
"3199",7411163,0,2,21,1
"3200",4878892,0,2,7,1
"3201",4333076,0,4,15,1
"3202",6384744,0,3,1,1
"3203",9021516,0,1,12,1
"3204",7209136,0,2,13,1
"3205",4686323,0,2,6,1
"3206",377168,0,1,20,1
"3207",38077,0,3,12,1
"3208",7214992,0,4,5,1
"3209",7232155,0,3,3,1
"3210",6626413,0,1,1,1
"3211",5816387,0,2,12,1
"3212",7152764,0,1,0,1
"3213",14123852,0,3,13,1
"3214",6931437,0,1,17,1
"3215",10944721,0,1,16,1
"3216",13720644,0,1,20,1
"3217",30424357,0,1,21,1
"3218",7305952,0,3,19,1
"3219",3185950,0,2,19,1
"3220",6326107,0,1,6,1
"3221",12889674,0,1,22,1
"3222",159072,0,2,21,1
"3223",4460302,0,3,18,1
"3224",4492214,0,2,11,1
"3225",24397,0,2,8,1
"3226",227349,0,3,2,1
"3227",10072797,53,30,9,1
"3228",9719855,0,1,21,1
"3229",30435692,0,2,10,1
"3230",6816435,0,2,18,1
"3231",22598992,0,2,16,1
"3232",14702721,0,3,15,1
"3233",30384480,0,1,21,1
